Rank,Title,Score,Episode,Duration,Duration_Months,Members
1,Fullmetal Alchemist: BrotherhoodTV,9.1,64,Apr 2009 - Jul 2010,15,3218472
2,Steins;GateTV,9.07,24,Apr 2011 - Sep 2011,5,2473707
3,Bleach: Sennen Kessen-henTV,9.06,13,Oct 2022 - Dec 2022,2,474138
4,GintamaÂ°TV,9.06,51,Apr 2015 - Mar 2016,11,605113
5,Shingeki no Kyojin Season 3 Part 2TV,9.05,10,Apr 2019 - Jul 2019,3,2146679
6,Gintama'TV,9.04,51,Apr 2011 - Mar 2012,11,534105
8,Hunter x Hunter TV,9.04,14,Oct 2011 - Sep 2014,35,2701154
9,Kaguya-sama wa Kokurasetai: Ultra RomanticTV,9.04,13,Apr 2022 - Jun 2022,2,851445
10,Gintama': EnchousenTV,9.03,13,Oct 2012 - Mar 2013,5,313446
11,Shingeki no Kyojin: The Final Season - Kanketsu-henSpecial,9.03,2,Mar 2023 - May 2023,2,472340
12,Ginga Eiyuu DensetsuOVA,9.02,11,Jan 1988 - Mar 1997,110,309193
13,Bleach: Sennen Kessen-hen - Ketsubetsu-tanTV,8.99,13,Jul 2023 - Aug 2023,1,178482
14,Fruits Basket: The FinalTV,8.99,13,Apr 2021 - Jun 2021,2,443882
15,Gintama.TV,8.98,12,Jan 2017 - Mar 2017,2,302232
16,GintamaTV,8.94,20,Apr 2006 - Mar 2010,47,1034418
18,3-gatsu no Lion 2nd SeasonTV,8.93,22,Oct 2017 - Mar 2018,5,388358
19,Clannad: After StoryTV,8.93,24,Oct 2008 - Mar 2009,5,1160879
20,Code Geass: Hangyaku no Lelouch R2TV,8.91,25,Apr 2008 - Sep 2008,5,1720715
24,Gintama.: Shirogane no Tamashii-hen - Kouhan-senTV,8.88,14,Jul 2018 - Oct 2018,3,189172
25,MonsterTV,8.87,74,Apr 2004 - Sep 2005,17,1041081
28,Bocchi the Rock!TV,8.83,12,Oct 2022 - Dec 2022,2,464981
30,Vinland Saga Season 2TV,8.82,24,Jan 2023 - Jun 2023,5,495454
31,Jujutsu Kaisen 2nd SeasonTV,8.82,23,Jul 2023 - Aug 2023,1,556301
32,Gintama.: Shirogane no Tamashii-henTV,8.81,12,Jan 2018 - Mar 2018,2,203540
33,Kingdom 3rd SeasonTV,8.81,26,Apr 2020 - Oct 2021,18,93645
34,Mob Psycho 100 IITV,8.8,13,Jan 2019 - Apr 2019,3,1458089
35,Shingeki no Kyojin: The Final SeasonTV,8.8,16,Dec 2020 - Mar 2021,3,1882760
36,Kimetsu no Yaiba: Yuukaku-henTV,8.79,11,Dec 2021 - Feb 2022,2,1302152
38,"""Oshi no Ko""TV",8.79,11,Apr 2023 - Jun 2023,2,645856
39,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen KoukouTV,8.78,10,Oct 2016 - Dec 2016,2,1157497
41,Monogatari Series: Second SeasonTV,8.77,26,Jul 2013 - Dec 2013,5,653257
42,Shingeki no Kyojin: The Final Season Part 2TV,8.77,12,Jan 2022 - Apr 2022,3,1170165
43,Hajime no IppoTV,8.76,75,Oct 2000 - Mar 2002,17,558435
44,Cowboy BebopTV,8.75,26,Apr 1998 - Apr 1999,12,1796109
45,Kingdom 4th SeasonTV,8.75,26,Apr 2022 - Oct 2022,6,55833
46,Vinland SagaTV,8.74,24,Jul 2019 - Dec 2019,5,1403669
47,Mushishi Zoku Shou 2nd SeasonTV,8.73,10,Oct 2014 - Dec 2014,2,257622
48,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-henTV,8.72,12,Jan 2017 - Mar 2017,2,182450
49,Mob Psycho 100 IIITV,8.71,12,Oct 2022 - Dec 2022,2,600098
50,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-henOVA,8.71,4,Feb 1999 - Sep 1999,7,271108
